model,accuracy,f1_macro,f1_weighted,f1_micro,precision_macro,recall_macro,roc_auc_ovr,f1_negative,f1_neutral,f1_positive,inference_time_s,f1_bearish,f1_bullish
VADER (baseline),0.4984423676012461,0.46733565412087547,0.5138441846973697,0.4984423676012461,0.4582965397354731,0.5147545357825674,0.6290293592830748,0.4619718309859155,0.5784966698382493,0.36153846153846153,0.0318,,
FinBERT-LoRA,0.8307372793354102,0.7825801878433456,0.8314789420134558,0.8307372793354102,0.7780629926389161,0.7874476191122262,0.9379178755436435,,0.881578947368421,,N/A,0.6888888888888889,0.7772727272727272
Roberta-LoRA,0.885773624091381,0.8586385760679485,0.8871573414970915,0.885773624091381,0.8436389160201783,0.8762013355689547,0.9614567052325813,,0.9172932330827067,,N/A,0.8085106382978723,0.8501118568232662
